MeterReadingID,Chave_Data,SiteID,DeviceID,Energia_kWh,Agua_m3,ReadingType
MW-008301,20240130,S-001,D-0025,424.09,7.87,aggregate
MW-008302,20230430,S-004,D-0024,393.02,8.32,aggregate
MW-008303,20230623,S-005,D-0050,413.94,19.03,aggregate
MW-008304,20240616,S-005,D-0033,363.15,21.42,aggregate
MW-008305,20230903,S-004,D-0001,706.08,25.65,aggregate
MW-008306,20241002,S-002,D-0050,281.48,11.68,instant
MW-008307,20230106,S-005,D-0031,308.68,17.78,aggregate
MW-008308,20231129,S-003,D-0040,297.58,20.83,aggregate
MW-008309,20240924,S-003,D-0050,441.11,20.13,aggregate
MW-008310,20230219,S-004,D-0048,412.71,12.15,aggregate
MW-008311,20231013,S-005,D-0034,641.76,1.94,aggregate
MW-008312,20231125,S-001,D-0007,490.54,20.68,instant
MW-008313,20240620,S-002,D-0043,279.23,26.56,aggregate
MW-008314,20240426,S-003,D-0032,873.66,20.74,aggregate
MW-008315,20240310,S-002,D-0034,500.05,28.98,aggregate
MW-008316,20230103,S-005,D-0004,491.8,23.53,aggregate
MW-008317,20240721,S-002,D-0015,623.99,44.05,aggregate
MW-008318,20240726,S-005,D-0023,381.8,4.57,instant
MW-008319,20241207,S-002,D-0001,670.94,1.84,aggregate
MW-008320,20230226,S-004,D-0038,240.9,5.63,aggregate
MW-008321,20240503,S-001,D-0014,486.6,6.4,aggregate
MW-008322,20230803,S-001,D-0003,401.32,7.91,aggregate
MW-008323,20231025,S-004,D-0018,308.22,22.0,aggregate
MW-008324,20230107,S-002,D-0001,588.18,8.17,instant
MW-008325,20230315,S-004,D-0039,439.87,33.73,aggregate
MW-008326,20240802,S-002,D-0015,661.38,13.1,aggregate
MW-008327,20231028,S-002,D-0001,395.82,9.02,aggregate
MW-008328,20230916,S-004,D-0027,345.45,19.74,aggregate
MW-008329,20231118,S-002,D-0009,689.33,24.43,aggregate
MW-008330,20240811,S-004,D-0041,885.05,25.34,instant
MW-008331,20240404,S-002,D-0004,574.54,32.75,aggregate
MW-008332,20231228,S-004,D-0046,587.98,36.84,aggregate
MW-008333,20230707,S-002,D-0019,315.4,20.02,aggregate
MW-008334,20240109,S-004,D-0002,535.47,25.62,aggregate
MW-008335,20230511,S-005,D-0026,246.28,13.61,instant
MW-008336,20230116,S-003,D-0029,874.57,52.42,aggregate
MW-008337,20230220,S-001,D-0007,509.57,22.95,aggregate
MW-008338,20230530,S-003,D-0035,391.79,17.03,aggregate
MW-008339,20230129,S-004,D-0048,492.39,33.6,aggregate
MW-008340,20241202,S-003,D-0004,507.47,9.29,aggregate
MW-008341,20230329,S-002,D-0038,337.64,11.19,aggregate
MW-008342,20241201,S-002,D-0001,663.94,29.8,aggregate
MW-008343,20230112,S-002,D-0013,781.48,7.11,aggregate
MW-008344,20230420,S-001,D-0048,343.86,3.68,aggregate
MW-008345,20240525,S-004,D-0016,354.2,6.8,aggregate
MW-008346,20240919,S-004,D-0013,769.51,4.73,aggregate
MW-008347,20241120,S-004,D-0001,165.46,8.81,aggregate
MW-008348,20240331,S-001,D-0043,81.07,27.85,aggregate
MW-008349,20230429,S-002,D-0006,1354.6,15.08,aggregate
MW-008350,20240810,S-005,D-0034,316.41,4.6,aggregate
MW-008351,20230412,S-001,D-0038,183.68,16.4,aggregate
MW-008352,20230611,S-005,D-0019,992.42,17.45,aggregate
MW-008353,20230108,S-004,D-0024,668.48,16.29,aggregate
MW-008354,20241116,S-001,D-0009,462.26,15.28,aggregate
MW-008355,20230113,S-004,D-0011,481.74,44.66,aggregate
MW-008356,20230704,S-004,D-0038,546.46,10.98,aggregate
MW-008357,20241210,S-005,D-0011,560.45,17.39,aggregate
MW-008358,20240217,S-002,D-0038,385.13,33.28,aggregate
MW-008359,20241226,S-002,D-0034,185.95,8.98,aggregate
MW-008360,20241030,S-003,D-0030,198.93,28.19,aggregate
MW-008361,20230810,S-001,D-0031,648.77,21.07,aggregate
MW-008362,20230829,S-001,D-0038,614.83,5.7,aggregate
MW-008363,20241122,S-003,D-0041,197.45,12.19,instant
MW-008364,20240513,S-004,D-0016,285.53,9.07,aggregate
MW-008365,20240929,S-002,D-0028,491.61,10.76,aggregate
MW-008366,20230712,S-003,D-0013,510.68,8.45,aggregate
MW-008367,20230830,S-003,D-0015,736.98,18.79,instant
MW-008368,20231123,S-004,D-0006,551.46,9.38,aggregate
MW-008369,20231116,S-004,D-0028,608.62,30.43,aggregate
MW-008370,20241206,S-004,D-0017,394.02,31.48,aggregate
MW-008371,20231115,S-004,D-0034,997.47,12.87,aggregate
MW-008372,20240610,S-001,D-0048,746.7,35.36,aggregate
MW-008373,20231119,S-002,D-0037,238.45,53.09,instant
MW-008374,20240309,S-005,D-0001,557.44,27.52,aggregate
MW-008375,20230820,S-001,D-0043,298.51,30.61,aggregate
MW-008376,20230327,S-003,D-0017,261.75,20.23,aggregate
MW-008377,20240823,S-005,D-0001,380.24,25.02,aggregate
MW-008378,20230910,S-002,D-0048,319.12,23.91,aggregate
MW-008379,20230406,S-003,D-0018,465.95,62.65,instant
MW-008380,20241221,S-002,D-0032,212.05,19.07,aggregate
MW-008381,20241217,S-001,D-0028,563.19,23.15,aggregate
MW-008382,20230809,S-001,D-0039,707.41,24.76,aggregate
MW-008383,20241227,S-001,D-0043,580.67,64.38,instant
MW-008384,20240511,S-003,D-0012,553.57,28.45,aggregate
MW-008385,20230204,S-005,D-0025,852.61,18.19,aggregate
MW-008386,20240405,S-001,D-0045,426.31,28.43,aggregate
MW-008387,20241112,S-002,D-0034,619.49,17.9,aggregate
MW-008388,20240814,S-003,D-0034,218.77,35.24,aggregate
MW-008389,20230119,S-005,D-0033,1298.94,41.52,aggregate
MW-008390,20230512,S-003,D-0044,543.84,22.27,aggregate
MW-008391,20240808,S-002,D-0020,857.29,26.07,aggregate
MW-008392,20230808,S-005,D-0028,258.55,13.03,instant
MW-008393,20240707,S-005,D-0006,355.92,4.32,aggregate
MW-008394,20231020,S-005,D-0025,317.8,13.4,aggregate
MW-008395,20230726,S-004,D-0047,599.54,7.44,aggregate
MW-008396,20230917,S-003,D-0046,291.68,12.91,aggregate
MW-008397,20230506,S-001,D-0009,337.35,3.3,aggregate
MW-008398,20241109,S-003,D-0008,239.45,21.33,aggregate
MW-008399,20240723,S-004,D-0045,456.83,16.14,aggregate
MW-008400,20231114,S-004,D-0044,534.83,15.45,aggregate
MW-008401,20230327,S-003,D-0017,1025.54,25.4,aggregate
MW-008402,20240428,S-004,D-0045,298.07,23.57,instant
MW-008403,20240110,S-001,D-0032,151.41,22.29,aggregate
MW-008404,20230320,S-004,D-0040,396.4,31.27,aggregate
MW-008405,20230215,S-005,D-0017,627.01,32.82,aggregate
MW-008406,20240519,S-001,D-0025,725.22,33.17,aggregate
MW-008407,20231217,S-002,D-0016,411.55,3.82,aggregate
MW-008408,20240105,S-001,D-0023,285.28,16.98,aggregate
MW-008409,20240913,S-003,D-0037,339.01,14.28,aggregate
MW-008410,20230704,S-004,D-0016,354.94,14.69,aggregate
MW-008411,20241220,S-001,D-0012,511.99,10.83,aggregate
MW-008412,20241002,S-005,D-0002,135.75,14.83,aggregate
MW-008413,20230105,S-001,D-0034,439.92,8.21,aggregate
MW-008414,20230809,S-005,D-0047,342.38,3.83,aggregate
MW-008415,20230316,S-002,D-0041,806.44,29.23,instant
MW-008416,20240929,S-005,D-0019,652.73,21.86,aggregate
MW-008417,20241124,S-001,D-0024,763.36,3.61,aggregate
MW-008418,20230422,S-003,D-0049,290.89,29.33,aggregate
MW-008419,20240731,S-003,D-0011,519.53,3.8,aggregate
MW-008420,20241201,S-002,D-0023,187.91,43.71,aggregate
MW-008421,20240501,S-004,D-0024,641.86,40.37,aggregate
MW-008422,20240308,S-003,D-0024,264.66,11.18,aggregate
MW-008423,20240817,S-005,D-0040,707.99,1.42,aggregate
MW-008424,20230810,S-005,D-0047,334.13,10.71,instant
MW-008425,20240602,S-004,D-0006,413.21,16.21,aggregate
MW-008426,20230919,S-004,D-0026,964.35,18.0,aggregate
MW-008427,20241103,S-005,D-0031,267.32,51.84,instant
MW-008428,20230529,S-005,D-0001,626.74,25.9,aggregate
MW-008429,20230127,S-004,D-0035,630.78,4.07,aggregate
MW-008430,20230711,S-003,D-0031,133.92,6.91,aggregate
MW-008431,20231227,S-003,D-0041,544.62,10.34,aggregate
MW-008432,20240618,S-001,D-0017,238.07,6.72,aggregate
MW-008433,20240505,S-002,D-0044,330.46,45.48,aggregate
MW-008434,20230212,S-005,D-0029,206.58,29.16,aggregate
MW-008435,20230410,S-002,D-0036,500.47,11.0,aggregate
MW-008436,20240527,S-004,D-0001,706.44,67.36,aggregate
MW-008437,20230801,S-002,D-0024,482.59,31.24,aggregate
MW-008438,20231015,S-004,D-0012,621.37,17.52,aggregate
MW-008439,20230614,S-001,D-0041,292.02,5.12,aggregate
MW-008440,20230212,S-001,D-0012,346.54,20.59,aggregate
MW-008441,20230410,S-004,D-0003,128.98,11.18,instant
MW-008442,20240710,S-002,D-0046,1019.34,55.23,aggregate
MW-008443,20230321,S-002,D-0039,334.76,13.98,aggregate
MW-008444,20230513,S-002,D-0037,290.88,11.09,instant
MW-008445,20240322,S-002,D-0018,143.24,11.21,aggregate
MW-008446,20241019,S-001,D-0014,1282.7,8.28,aggregate
MW-008447,20241007,S-004,D-0045,558.02,17.85,instant
MW-008448,20240319,S-002,D-0026,193.51,5.11,aggregate
MW-008449,20240919,S-005,D-0018,386.26,19.51,instant
MW-008450,20230110,S-005,D-0016,475.69,22.48,aggregate
MW-008451,20230508,S-005,D-0018,374.05,15.4,instant
MW-008452,20230616,S-003,D-0011,935.96,98.8,aggregate
MW-008453,20240206,S-004,D-0018,393.54,29.41,aggregate
MW-008454,20240101,S-001,D-0024,610.4,21.82,instant
MW-008455,20241217,S-003,D-0005,300.25,11.16,aggregate
MW-008456,20230720,S-005,D-0040,649.15,15.52,aggregate
MW-008457,20230912,S-005,D-0023,737.99,26.01,aggregate
MW-008458,20230623,S-004,D-0021,249.75,11.54,aggregate
MW-008459,20231213,S-001,D-0004,203.86,13.79,aggregate
MW-008460,20230213,S-002,D-0046,534.58,22.56,aggregate
MW-008461,20240410,S-001,D-0029,350.11,2.6,aggregate
MW-008462,20240509,S-005,D-0028,390.39,7.29,aggregate
MW-008463,20231021,S-002,D-0011,329.61,22.38,aggregate
MW-008464,20230405,S-002,D-0039,618.76,12.99,aggregate
MW-008465,20240831,S-002,D-0049,233.26,39.36,aggregate
MW-008466,20230413,S-003,D-0034,625.39,13.39,aggregate
MW-008467,20230410,S-003,D-0016,617.76,20.61,aggregate
MW-008468,20230609,S-003,D-0046,258.92,29.63,aggregate
MW-008469,20230511,S-001,D-0040,483.77,17.75,aggregate
MW-008470,20240327,S-004,D-0047,660.0,12.5,aggregate
MW-008471,20230806,S-004,D-0050,656.51,17.3,aggregate
MW-008472,20240718,S-002,D-0039,486.81,21.94,aggregate
MW-008473,20230524,S-001,D-0030,624.19,34.87,instant
MW-008474,20230131,S-001,D-0032,865.22,14.83,aggregate
MW-008475,20240511,S-005,D-0032,226.15,8.23,aggregate
MW-008476,20241013,S-001,D-0013,780.55,35.6,aggregate
MW-008477,20241124,S-003,D-0016,298.57,14.6,aggregate
MW-008478,20240420,S-002,D-0016,530.78,22.6,aggregate
MW-008479,20231027,S-004,D-0049,334.6,6.24,aggregate
MW-008480,20241023,S-004,D-0012,806.74,18.6,instant
MW-008481,20241017,S-005,D-0018,351.51,18.13,instant
MW-008482,20240119,S-004,D-0016,471.28,29.17,aggregate
MW-008483,20240306,S-003,D-0020,454.81,25.46,aggregate
MW-008484,20240410,S-005,D-0002,516.64,16.8,instant
MW-008485,20230117,S-004,D-0014,274.75,16.78,aggregate
MW-008486,20241121,S-004,D-0045,284.95,11.21,aggregate
MW-008487,20240114,S-004,D-0005,861.49,11.58,aggregate
MW-008488,20240514,S-005,D-0012,533.87,37.26,aggregate
MW-008489,20241218,S-002,D-0018,320.19,51.91,aggregate
MW-008490,20241101,S-004,D-0022,806.66,16.47,aggregate
MW-008491,20240502,S-002,D-0044,274.46,22.29,aggregate
MW-008492,20240430,S-001,D-0006,638.33,29.55,aggregate
MW-008493,20230811,S-005,D-0001,716.77,35.16,aggregate
MW-008494,20230301,S-003,D-0025,459.69,21.36,aggregate
MW-008495,20241124,S-002,D-0044,1156.05,4.05,aggregate
MW-008496,20230214,S-002,D-0039,680.78,15.35,instant
MW-008497,20230228,S-005,D-0019,168.42,5.29,instant
MW-008498,20230827,S-001,D-0010,421.71,6.36,instant
MW-008499,20240522,S-002,D-0012,392.88,33.44,aggregate
MW-008500,20240723,S-001,D-0045,551.02,5.61,aggregate
MW-008501,20240725,S-004,D-0029,512.88,36.81,aggregate
MW-008502,20241212,S-005,D-0032,582.01,13.96,aggregate
MW-008503,20240728,S-002,D-0045,698.96,65.21,aggregate
MW-008504,20240311,S-003,D-0014,193.15,9.81,instant
MW-008505,20241230,S-005,D-0019,251.57,2.49,aggregate
MW-008506,20240626,S-004,D-0010,316.99,18.91,aggregate
MW-008507,20230427,S-001,D-0029,635.92,21.72,aggregate
MW-008508,20231219,S-001,D-0005,792.46,9.71,aggregate
MW-008509,20231217,S-003,D-0015,704.68,23.37,aggregate
MW-008510,20241202,S-005,D-0028,496.21,6.98,instant
MW-008511,20230805,S-002,D-0039,624.4,12.41,aggregate
MW-008512,20240418,S-003,D-0040,190.69,23.73,aggregate
MW-008513,20240315,S-004,D-0047,770.28,16.62,aggregate
MW-008514,20230819,S-002,D-0041,317.98,28.48,aggregate
MW-008515,20230801,S-003,D-0037,302.96,6.07,aggregate
MW-008516,20240304,S-004,D-0004,694.74,63.81,instant
MW-008517,20230508,S-005,D-0034,517.75,27.73,aggregate
MW-008518,20231101,S-005,D-0025,200.37,16.95,aggregate
MW-008519,20240902,S-004,D-0041,372.39,32.79,aggregate
MW-008520,20240718,S-004,D-0048,297.86,8.86,aggregate
MW-008521,20230707,S-003,D-0037,389.0,19.26,aggregate
MW-008522,20241122,S-001,D-0019,527.7,26.1,instant
MW-008523,20230823,S-004,D-0017,240.97,13.72,aggregate
MW-008524,20230511,S-003,D-0040,516.8,59.52,aggregate
MW-008525,20240901,S-002,D-0038,612.97,23.8,aggregate
MW-008526,20231224,S-005,D-0007,450.3,27.62,aggregate
MW-008527,20230510,S-001,D-0006,739.41,14.49,aggregate
MW-008528,20240820,S-004,D-0050,836.31,12.05,aggregate
MW-008529,20241016,S-001,D-0039,374.78,17.56,aggregate
MW-008530,20240131,S-002,D-0028,316.11,18.74,aggregate
MW-008531,20230918,S-004,D-0035,522.07,62.61,aggregate
MW-008532,20231008,S-003,D-0047,577.02,7.92,aggregate
MW-008533,20240413,S-003,D-0016,457.98,5.18,aggregate
MW-008534,20240913,S-004,D-0008,718.95,8.27,aggregate
MW-008535,20240513,S-002,D-0007,260.38,15.2,instant
MW-008536,20231214,S-004,D-0045,377.5,6.08,instant
MW-008537,20240212,S-003,D-0030,626.99,6.61,aggregate
MW-008538,20241215,S-005,D-0044,317.99,50.53,instant
MW-008539,20240229,S-001,D-0010,359.86,13.04,aggregate
MW-008540,20240306,S-002,D-0043,361.51,2.92,aggregate
MW-008541,20240514,S-001,D-0003,441.63,7.2,instant
MW-008542,20240630,S-004,D-0024,265.14,5.94,aggregate
MW-008543,20240527,S-002,D-0041,501.01,19.21,aggregate
MW-008544,20231118,S-002,D-0045,1018.58,18.42,aggregate
MW-008545,20240214,S-002,D-0006,610.68,8.58,aggregate
MW-008546,20231218,S-003,D-0010,272.34,6.44,aggregate
MW-008547,20231121,S-004,D-0047,673.44,33.22,aggregate
MW-008548,20230504,S-003,D-0025,950.65,24.95,instant
MW-008549,20240907,S-005,D-0011,397.39,8.19,aggregate
MW-008550,20230914,S-005,D-0005,111.3,25.53,aggregate
MW-008551,20241029,S-002,D-0005,372.6,30.27,instant
MW-008552,20231120,S-003,D-0043,631.55,4.34,aggregate
MW-008553,20230525,S-003,D-0004,276.68,12.66,aggregate
MW-008554,20240830,S-001,D-0048,266.98,25.57,aggregate
MW-008555,20231121,S-002,D-0011,285.74,14.26,aggregate
MW-008556,20231228,S-005,D-0020,618.4,21.04,aggregate
MW-008557,20240422,S-003,D-0027,869.8,7.51,instant
MW-008558,20230309,S-005,D-0045,357.62,17.64,aggregate
MW-008559,20230826,S-002,D-0048,493.86,16.89,aggregate
MW-008560,20230328,S-003,D-0018,440.21,6.95,aggregate
MW-008561,20230107,S-004,D-0037,788.6,18.77,aggregate
MW-008562,20231105,S-002,D-0030,511.86,10.55,aggregate
MW-008563,20231105,S-001,D-0043,416.1,39.5,aggregate
MW-008564,20230831,S-004,D-0013,523.37,6.88,aggregate
MW-008565,20241011,S-005,D-0040,805.74,5.45,aggregate
MW-008566,20231028,S-001,D-0017,276.33,3.1,aggregate
MW-008567,20240923,S-002,D-0047,545.02,31.51,aggregate
MW-008568,20240729,S-004,D-0008,344.64,16.58,aggregate
MW-008569,20240104,S-001,D-0015,242.57,23.29,instant
MW-008570,20240811,S-002,D-0035,329.79,6.23,aggregate
MW-008571,20231026,S-003,D-0017,645.59,12.12,aggregate
MW-008572,20230613,S-003,D-0023,575.58,25.5,instant
MW-008573,20240412,S-005,D-0031,540.38,42.41,instant
MW-008574,20240529,S-005,D-0035,366.84,7.89,aggregate
MW-008575,20230620,S-003,D-0043,770.47,4.77,aggregate
MW-008576,20230913,S-005,D-0011,203.72,1.76,aggregate
MW-008577,20230321,S-004,D-0026,545.0,33.48,aggregate
MW-008578,20240112,S-005,D-0026,279.01,10.89,aggregate
MW-008579,20240329,S-002,D-0041,87.85,18.42,aggregate
MW-008580,20241228,S-005,D-0029,149.93,2.47,instant
MW-008581,20240719,S-003,D-0017,202.19,10.24,aggregate
MW-008582,20230517,S-005,D-0019,416.19,18.52,aggregate
MW-008583,20231217,S-001,D-0005,200.6,18.58,aggregate
MW-008584,20241213,S-003,D-0050,809.65,11.01,aggregate
MW-008585,20231222,S-003,D-0041,632.88,19.33,aggregate
MW-008586,20231027,S-002,D-0032,209.6,10.25,aggregate
MW-008587,20240827,S-002,D-0049,301.37,30.37,instant
MW-008588,20241109,S-001,D-0015,223.11,7.09,aggregate
MW-008589,20241128,S-002,D-0040,560.52,8.41,instant
MW-008590,20241219,S-003,D-0023,690.23,10.2,aggregate
MW-008591,20240417,S-002,D-0025,323.88,6.3,aggregate
MW-008592,20240829,S-003,D-0004,694.52,18.34,aggregate
MW-008593,20240904,S-003,D-0003,469.7,9.87,instant
MW-008594,20241228,S-002,D-0010,484.92,52.93,aggregate
MW-008595,20230728,S-004,D-0043,702.65,56.01,aggregate
MW-008596,20230911,S-004,D-0048,760.61,14.09,aggregate
MW-008597,20231015,S-003,D-0044,257.38,42.37,instant
MW-008598,20240511,S-004,D-0021,648.3,14.95,aggregate
MW-008599,20230105,S-001,D-0014,441.78,18.78,aggregate
MW-008600,20241021,S-003,D-0014,287.01,35.54,aggregate
MW-008601,20230605,S-005,D-0025,470.07,3.3,aggregate
MW-008602,20240412,S-003,D-0019,522.62,35.26,instant
MW-008603,20240115,S-003,D-0002,495.64,24.66,aggregate
MW-008604,20230620,S-003,D-0028,588.55,24.04,aggregate
MW-008605,20230418,S-004,D-0036,583.08,3.4,aggregate
MW-008606,20240903,S-003,D-0013,507.24,14.35,aggregate
MW-008607,20240810,S-001,D-0023,777.69,6.78,aggregate
MW-008608,20241111,S-004,D-0008,430.34,70.16,aggregate
MW-008609,20231223,S-001,D-0040,447.7,67.62,aggregate
MW-008610,20230209,S-001,D-0009,481.46,30.92,aggregate
MW-008611,20230511,S-004,D-0002,175.14,62.36,aggregate
MW-008612,20230627,S-002,D-0022,936.4,7.35,instant
MW-008613,20230120,S-002,D-0011,453.17,46.83,aggregate
MW-008614,20240425,S-001,D-0022,217.76,22.92,aggregate
MW-008615,20230215,S-002,D-0048,913.46,67.42,aggregate
MW-008616,20240619,S-001,D-0035,125.49,20.35,instant
MW-008617,20240520,S-005,D-0017,406.73,33.1,aggregate
MW-008618,20231031,S-002,D-0009,265.82,21.35,aggregate
MW-008619,20230410,S-003,D-0018,403.47,24.96,aggregate
MW-008620,20240423,S-004,D-0045,716.81,4.41,aggregate
MW-008621,20231211,S-005,D-0002,512.42,11.89,aggregate
MW-008622,20231002,S-003,D-0032,486.12,56.37,aggregate
MW-008623,20230119,S-001,D-0049,469.28,16.94,aggregate
MW-008624,20241209,S-002,D-0016,885.57,19.1,instant
MW-008625,20240309,S-001,D-0027,848.64,41.62,aggregate
MW-008626,20240929,S-001,D-0041,485.14,8.54,aggregate
MW-008627,20240124,S-001,D-0044,936.61,2.92,aggregate
MW-008628,20240509,S-002,D-0036,291.48,27.93,instant
MW-008629,20241029,S-003,D-0016,899.55,10.11,aggregate
MW-008630,20240411,S-002,D-0022,890.54,3.62,aggregate
MW-008631,20240717,S-001,D-0005,516.25,20.67,aggregate
MW-008632,20240613,S-001,D-0050,241.19,22.67,aggregate
MW-008633,20240930,S-001,D-0010,842.63,10.07,aggregate
MW-008634,20240704,S-003,D-0035,957.59,28.33,instant
MW-008635,20230226,S-005,D-0026,543.29,34.89,aggregate
MW-008636,20240106,S-001,D-0013,963.61,7.56,aggregate
MW-008637,20231005,S-002,D-0001,349.06,15.52,aggregate
MW-008638,20240608,S-004,D-0004,469.11,15.14,aggregate
MW-008639,20230119,S-004,D-0046,383.61,11.91,aggregate
MW-008640,20241218,S-004,D-0006,220.21,16.4,aggregate
MW-008641,20230313,S-004,D-0030,370.66,18.6,aggregate
MW-008642,20230304,S-003,D-0039,494.84,52.41,instant
MW-008643,20240826,S-001,D-0005,264.68,7.86,aggregate
MW-008644,20240820,S-005,D-0047,281.2,68.32,aggregate
MW-008645,20230909,S-002,D-0008,495.81,3.2,aggregate
MW-008646,20240330,S-001,D-0005,677.39,16.4,aggregate
MW-008647,20230525,S-005,D-0015,244.77,79.58,aggregate
MW-008648,20240319,S-005,D-0021,288.26,8.87,aggregate
MW-008649,20240523,S-002,D-0010,569.52,15.0,aggregate
MW-008650,20230716,S-001,D-0048,655.56,5.23,aggregate
MW-008651,20241211,S-004,D-0031,567.5,16.36,aggregate
MW-008652,20230228,S-003,D-0015,875.09,22.4,aggregate
MW-008653,20240301,S-003,D-0049,437.77,19.36,aggregate
MW-008654,20230706,S-002,D-0028,456.73,25.26,instant
MW-008655,20241018,S-003,D-0021,657.69,16.29,aggregate
MW-008656,20230817,S-004,D-0016,490.29,16.62,aggregate
MW-008657,20230425,S-004,D-0001,885.73,33.35,aggregate
MW-008658,20240930,S-001,D-0025,597.41,13.41,aggregate
MW-008659,20240519,S-005,D-0045,375.88,15.15,aggregate
MW-008660,20240617,S-001,D-0003,485.82,32.82,aggregate
MW-008661,20240916,S-002,D-0036,298.89,15.64,instant
MW-008662,20230202,S-002,D-0023,443.03,21.93,instant
MW-008663,20240430,S-003,D-0013,308.0,5.9,aggregate
MW-008664,20230206,S-001,D-0012,333.74,9.58,aggregate
MW-008665,20240815,S-005,D-0048,289.79,11.87,aggregate
MW-008666,20230727,S-001,D-0025,555.43,38.68,aggregate
MW-008667,20240204,S-001,D-0007,470.2,4.4,aggregate
MW-008668,20240215,S-001,D-0009,211.74,16.17,aggregate
MW-008669,20240509,S-005,D-0011,553.73,10.03,aggregate
MW-008670,20240831,S-003,D-0028,419.74,15.02,aggregate
MW-008671,20241101,S-003,D-0050,340.62,21.33,instant
MW-008672,20230702,S-004,D-0046,417.24,38.96,aggregate
MW-008673,20240906,S-002,D-0019,353.34,6.73,instant
MW-008674,20241008,S-002,D-0014,350.15,4.96,aggregate
MW-008675,20230604,S-003,D-0039,418.71,35.52,aggregate
MW-008676,20241028,S-004,D-0040,587.34,10.0,aggregate
MW-008677,20231127,S-005,D-0033,361.79,6.22,aggregate
MW-008678,20241003,S-003,D-0029,477.62,7.18,aggregate
MW-008679,20240727,S-003,D-0006,332.82,37.22,aggregate
MW-008680,20240217,S-003,D-0034,565.84,26.65,aggregate
MW-008681,20240525,S-004,D-0014,637.77,12.46,aggregate
MW-008682,20231214,S-003,D-0021,489.29,21.48,aggregate
MW-008683,20231113,S-002,D-0022,799.08,22.06,aggregate
MW-008684,20240117,S-005,D-0049,286.93,57.78,instant
MW-008685,20230604,S-003,D-0008,589.17,31.62,aggregate
MW-008686,20241203,S-002,D-0032,163.52,14.93,instant
MW-008687,20240531,S-001,D-0050,407.91,1.9,aggregate
MW-008688,20240412,S-001,D-0006,164.25,20.57,instant
MW-008689,20240812,S-005,D-0047,295.89,13.04,aggregate
MW-008690,20241110,S-002,D-0013,631.8,14.01,aggregate
MW-008691,20241117,S-003,D-0049,211.73,9.86,instant
MW-008692,20230601,S-004,D-0031,278.65,48.05,aggregate
MW-008693,20240816,S-004,D-0021,457.39,13.14,aggregate
MW-008694,20230420,S-002,D-0034,625.76,32.15,instant
MW-008695,20240518,S-004,D-0021,604.44,6.15,aggregate
MW-008696,20230928,S-004,D-0026,430.34,4.65,aggregate
MW-008697,20230528,S-002,D-0037,814.87,10.89,aggregate
MW-008698,20230108,S-003,D-0023,240.59,11.98,aggregate
MW-008699,20240206,S-001,D-0045,728.16,2.27,aggregate
MW-008700,20231217,S-003,D-0040,671.16,17.0,aggregate
MW-008701,20240422,S-005,D-0031,279.59,23.42,instant
MW-008702,20230122,S-004,D-0030,753.02,4.65,aggregate
MW-008703,20240708,S-002,D-0015,597.66,9.22,aggregate
MW-008704,20240203,S-004,D-0039,417.33,45.3,instant
MW-008705,20240301,S-002,D-0011,462.68,12.51,aggregate
MW-008706,20231129,S-005,D-0002,713.27,15.08,aggregate
MW-008707,20230721,S-002,D-0037,403.44,26.15,instant
MW-008708,20240129,S-002,D-0031,458.85,7.29,aggregate
MW-008709,20240720,S-002,D-0024,403.12,14.11,aggregate
MW-008710,20240409,S-005,D-0047,842.64,11.36,aggregate
MW-008711,20241117,S-003,D-0020,599.44,6.78,aggregate
MW-008712,20240116,S-002,D-0024,158.51,49.12,aggregate
MW-008713,20241226,S-005,D-0007,120.0,11.15,aggregate
MW-008714,20230220,S-003,D-0046,324.71,42.36,aggregate
MW-008715,20240628,S-001,D-0043,285.3,5.97,aggregate
MW-008716,20240322,S-002,D-0015,410.38,13.98,aggregate
MW-008717,20240126,S-004,D-0042,538.29,24.87,aggregate
MW-008718,20241009,S-005,D-0048,552.85,7.04,aggregate
MW-008719,20230822,S-001,D-0036,560.51,18.0,instant
MW-008720,20240321,S-004,D-0015,794.32,7.49,aggregate
MW-008721,20230922,S-003,D-0009,940.82,22.67,aggregate
MW-008722,20230819,S-005,D-0001,202.95,11.43,instant
MW-008723,20230602,S-002,D-0049,529.0,21.72,aggregate
MW-008724,20230417,S-001,D-0011,628.03,34.73,aggregate
MW-008725,20240531,S-005,D-0005,596.36,3.27,aggregate
MW-008726,20230929,S-003,D-0015,591.4,10.3,aggregate
MW-008727,20230913,S-005,D-0026,289.47,3.49,aggregate
MW-008728,20240131,S-002,D-0018,926.35,28.13,aggregate
MW-008729,20240617,S-005,D-0006,541.36,36.47,aggregate
MW-008730,20240416,S-002,D-0040,488.73,10.89,aggregate
MW-008731,20240712,S-003,D-0041,928.26,12.1,aggregate
MW-008732,20231204,S-001,D-0049,795.67,15.86,aggregate
MW-008733,20241103,S-003,D-0032,282.61,13.42,instant
MW-008734,20230910,S-002,D-0008,174.05,26.83,aggregate
MW-008735,20240321,S-001,D-0018,339.87,9.89,aggregate
MW-008736,20231228,S-004,D-0007,384.19,13.2,aggregate
MW-008737,20240705,S-003,D-0036,371.85,8.18,aggregate
MW-008738,20230628,S-004,D-0002,291.45,20.82,aggregate
MW-008739,20240802,S-002,D-0045,133.02,44.73,aggregate
MW-008740,20241020,S-002,D-0007,1274.26,29.24,instant
